id,start_date,end_date,guest_id,total
1,2022-11-12,2022-11-19,245,1170.0
2,2022-04-18,2022-04-20,858,312.0
3,2022-10-22,2022-10-28,61,975.0
4,2023-01-01,2023-01-08,366,1170.0
5,2022-08-31,2022-09-07,785,1170.0
6,2022-07-19,2022-07-23,858,663.0
7,2022-05-18,2022-05-24,182,1014.0
8,2022-06-16,2022-06-19,899,546.0
9,2022-08-01,2022-08-04,291,468.0
10,2023-03-08,2023-03-15,804,1170.0
11,2023-02-10,2023-02-14,744,702.0
12,2023-03-17,2023-03-18,914,195.0
13,2023-01-25,2023-01-26,251,156.0
14,2022-11-21,2022-11-28,325,1170.0
15,2023-07-08,2023-07-09,245,195.0
16,2024-01-01,2024-01-02,245,156.0
